roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
322,rock,rock,rock,tie,random,True,0.0067,1787898727538
323,rock,rock,paper,lose,order-1,True,0.0043,1787898727639
324,rock,rock,scissors,win,random,True,0.0086,1787898727739
325,rock,rock,paper,lose,order-1,True,0.0049,1787898727839
326,rock,rock,paper,lose,order-1,True,0.0048,1787898727939
327,rock,rock,paper,lose,order-1,True,0.0058,1787898728039
328,rock,rock,paper,lose,order-1,True,0.0059,1787898728139
329,rock,rock,paper,lose,order-1,True,0.0069,1787898728239
330,rock,rock,paper,lose,order-1,True,0.0047,1787898728339
331,rock,rock,paper,lose,order-1,True,0.0037,1787898728439
332,rock,rock,paper,lose,order-1,True,0.0045,1787898728539
333,rock,rock,paper,lose,order-1,True,0.0044,1787898728639
334,rock,rock,scissors,win,random,True,0.0073,1787898728739
335,rock,rock,paper,lose,order-1,True,0.0047,1787898728839
336,rock,rock,paper,lose,order-1,True,0.0042,1787898728939
337,rock,rock,paper,lose,order-1,True,0.0054,1787898729039
338,rock,rock,paper,lose,order-1,True,0.0052,1787898729139
339,rock,rock,paper,lose,order-1,True,0.0051,1787898729239
340,rock,rock,paper,lose,order-1,True,0.0031,1787898729339
341,rock,rock,scissors,win,random,True,0.0047,1787898729439
342,rock,rock,paper,lose,order-1,True,0.0059,1787898729539
343,rock,rock,paper,lose,order-1,True,0.0046,1787898729639
344,rock,rock,paper,lose,order-1,True,0.005,1787898729739
345,rock,rock,paper,lose,order-1,True,0.0034,1787898729839
346,rock,rock,paper,lose,order-1,True,0.003,1787898729939
347,rock,rock,rock,tie,random,True,0.005,1787898730039
348,rock,rock,paper,lose,order-1,True,0.0052,1787898730139
349,rock,rock,paper,lose,order-1,True,0.0066,1787898730239
350,rock,rock,paper,lose,order-1,True,0.005,1787898730339
351,rock,rock,paper,lose,order-1,True,0.0039,1787898730439
352,rock,rock,paper,lose,order-1,True,0.0051,1787898730539
353,rock,rock,paper,lose,order-1,True,0.0049,1787898730639
354,rock,rock,paper,lose,order-1,True,0.0047,1787898730739
355,rock,rock,paper,lose,order-1,True,0.0044,1787898730839
356,rock,rock,paper,lose,random,True,0.0054,1787898730939
357,rock,rock,paper,lose,order-1,True,0.0029,1787898731039
358,rock,rock,paper,lose,order-1,True,0.0046,1787898731139
