roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
166,paper,paper,scissors,lose,order-2,True,0.003,1787898712002
167,scissors,scissors,rock,lose,order-2,True,0.0028,1787898712102
168,rock,rock,paper,lose,order-2,True,0.0027,1787898712202
169,paper,paper,scissors,lose,order-2,True,0.0045,1787898712302
170,scissors,scissors,rock,lose,order-2,True,0.0049,1787898712402
171,rock,rock,paper,lose,order-2,True,0.0048,1787898712502
172,paper,paper,scissors,lose,order-2,True,0.0051,1787898712602
173,scissors,scissors,rock,lose,order-2,True,0.0046,1787898712702
174,rock,rock,paper,lose,order-2,True,0.0048,1787898712802
175,paper,paper,scissors,lose,order-2,True,0.005,1787898712902
176,scissors,scissors,rock,lose,order-2,True,0.0029,1787898713002
177,rock,rock,paper,lose,order-2,True,0.003,1787898713102
178,paper,paper,scissors,lose,order-2,True,0.003,1787898713202
179,scissors,scissors,rock,lose,order-2,True,0.003,1787898713302
180,rock,rock,paper,lose,order-2,True,0.0028,1787898713402
181,paper,paper,scissors,lose,order-2,True,0.0029,1787898713502
182,scissors,scissors,rock,lose,order-2,True,0.0028,1787898713602
183,rock,rock,paper,lose,order-2,True,0.0035,1787898713702
184,paper,paper,scissors,lose,order-2,True,0.0027,1787898713802
185,scissors,scissors,paper,win,random,True,0.0048,1787898713902
186,scissors,rock,paper,win,order-2,False,0.0028,1787898714002
187,scissors,rock,paper,win,order-1,False,0.0021,1787898714102
188,scissors,scissors,rock,lose,order-2,True,0.0034,1787898714202
189,rock,scissors,rock,tie,order-2,False,0.0026,1787898714302
190,paper,paper,scissors,lose,order-2,True,0.003,1787898714402
191,scissors,scissors,rock,lose,random,True,0.0031,1787898714502
192,rock,rock,paper,lose,order-2,True,0.0028,1787898714602
193,paper,paper,scissors,lose,order-2,True,0.0028,1787898714702
194,scissors,scissors,rock,lose,order-2,True,0.0029,1787898714802
195,rock,rock,paper,lose,order-2,True,0.0027,1787898714902
196,paper,paper,scissors,lose,order-2,True,0.0034,1787898715002
197,scissors,scissors,rock,lose,order-2,True,0.0047,1787898715102
198,rock,rock,paper,lose,order-2,True,0.0031,1787898715202
199,paper,paper,scissors,lose,order-2,True,0.0027,1787898715302
200,scissors,scissors,rock,lose,order-2,True,0.0028,1787898715402
201,rock,rock,paper,lose,order-2,True,0.0029,1787898715502
202,paper,paper,scissors,lose,order-2,True,0.0047,1787898715602
203,scissors,scissors,rock,lose,order-2,True,0.003,1787898715702
204,rock,rock,paper,lose,order-2,True,0.0028,1787898715802
205,paper,paper,scissors,lose,order-2,True,0.0031,1787898715902
206,scissors,scissors,paper,win,random,True,0.0033,1787898716002
207,scissors,rock,paper,win,order-2,False,0.0028,1787898716102
208,scissors,rock,paper,win,order-1,False,0.0029,1787898716202
209,scissors,scissors,rock,lose,order-2,True,0.0028,1787898716302
210,rock,scissors,rock,tie,order-2,False,0.0033,1787898716402
211,paper,paper,scissors,lose,order-2,True,0.0034,1787898716502
212,scissors,scissors,rock,lose,order-2,True,0.0043,1787898716602
213,rock,rock,paper,lose,order-2,True,0.0039,1787898716702
214,paper,paper,scissors,lose,order-2,True,0.0046,1787898716802
215,scissors,scissors,rock,lose,order-2,True,0.0053,1787898716902
216,rock,rock,paper,lose,order-2,True,0.0028,1787898717002
217,paper,paper,scissors,lose,order-2,True,0.0029,1787898717102
218,scissors,scissors,rock,lose,order-2,True,0.0028,1787898717202
219,rock,rock,paper,lose,order-2,True,0.0045,1787898717302
220,paper,paper,scissors,lose,order-2,True,0.0045,1787898717402
221,scissors,scissors,rock,lose,order-2,True,0.0046,1787898717502
222,rock,rock,paper,lose,order-2,True,0.0044,1787898717602
223,paper,paper,scissors,lose,order-2,True,0.0029,1787898717702
224,scissors,scissors,rock,lose,order-2,True,0.0027,1787898717802
225,rock,rock,paper,lose,order-2,True,0.0028,1787898717902
226,paper,paper,scissors,lose,order-2,True,0.0029,1787898718002
227,scissors,scissors,rock,lose,order-2,True,0.0028,1787898718102
228,rock,rock,paper,lose,order-2,True,0.0028,1787898718202
229,paper,paper,scissors,lose,order-2,True,0.003,1787898718302
230,scissors,scissors,rock,lose,order-2,True,0.0028,1787898718402
231,rock,rock,paper,lose,order-2,True,0.005,1787898718502
232,paper,paper,rock,win,random,True,0.0056,1787898718602
233,paper,scissors,rock,win,order-2,False,0.0048,1787898718702
234,paper,scissors,rock,win,order-1,False,0.0033,1787898718802
235,paper,paper,scissors,lose,order-2,True,0.0045,1787898718903
236,scissors,paper,scissors,tie,order-2,False,0.0045,1787898719003
237,rock,rock,paper,lose,order-2,True,0.0045,1787898719103
238,paper,paper,scissors,lose,order-2,True,0.0041,1787898719203
239,scissors,scissors,scissors,tie,random,True,0.0051,1787898719303
240,rock,rock,paper,lose,order-2,True,0.0043,1787898719403
241,paper,paper,scissors,lose,order-2,True,0.0044,1787898719503
242,scissors,scissors,rock,lose,random,True,0.0052,1787898719603
243,rock,rock,paper,lose,order-2,True,0.0051,1787898719703
244,paper,paper,scissors,lose,order-2,True,0.0043,1787898719803
245,scissors,scissors,rock,lose,order-2,True,0.0042,1787898719903
246,rock,rock,scissors,win,random,True,0.0057,1787898720003
247,rock,paper,scissors,win,order-2,False,0.0032,1787898720103
248,rock,paper,scissors,win,order-1,False,0.0022,1787898720203
249,rock,rock,paper,lose,order-2,True,0.0035,1787898720303
250,paper,rock,paper,tie,order-2,False,0.0029,1787898720403
251,scissors,scissors,rock,lose,order-2,True,0.0029,1787898720503
252,rock,rock,paper,lose,order-2,True,0.0028,1787898720603
253,paper,paper,scissors,lose,order-2,True,0.003,1787898720703
254,scissors,scissors,rock,lose,order-2,True,0.0091,1787898720803
255,rock,rock,paper,lose,order-2,True,0.0031,1787898720903
256,paper,paper,scissors,lose,order-2,True,0.0028,1787898721003
257,scissors,scissors,rock,lose,order-2,True,0.0029,1787898721103
258,rock,rock,paper,lose,order-2,True,0.0054,1787898721203
259,paper,paper,scissors,lose,order-2,True,0.0047,1787898721303
260,scissors,scissors,rock,lose,order-2,True,0.005,1787898721403
261,rock,rock,scissors,win,random,True,0.0049,1787898721503
262,rock,paper,scissors,win,order-2,False,0.0045,1787898721603
263,rock,paper,scissors,win,order-1,False,0.0043,1787898721703
264,rock,rock,paper,lose,order-2,True,0.0042,1787898721803
265,paper,rock,paper,tie,order-2,False,0.0044,1787898721903
266,scissors,scissors,rock,lose,order-2,True,0.0043,1787898722003
267,rock,rock,paper,lose,order-2,True,0.0043,1787898722103
268,paper,paper,scissors,lose,order-2,True,0.0045,1787898722203
269,scissors,scissors,rock,lose,order-2,True,0.0046,1787898722303
270,rock,rock,paper,lose,order-2,True,0.0045,1787898722403
271,paper,paper,scissors,lose,order-2,True,0.0046,1787898722503
272,scissors,scissors,rock,lose,order-2,True,0.0048,1787898722603
273,rock,rock,paper,lose,order-2,True,0.0044,1787898722703
274,paper,paper,scissors,lose,order-2,True,0.0047,1787898722803
275,scissors,scissors,rock,lose,order-2,True,0.0028,1787898722903
276,rock,rock,paper,lose,order-2,True,0.0029,1787898723003
277,paper,paper,scissors,lose,order-2,True,0.0028,1787898723103
278,scissors,scissors,scissors,tie,random,True,0.0033,1787898723203
279,rock,rock,paper,lose,order-2,True,0.0045,1787898723303
280,paper,paper,scissors,lose,order-2,True,0.0046,1787898723403
281,scissors,scissors,rock,lose,order-2,True,0.0046,1787898723503
282,rock,rock,paper,lose,order-2,True,0.0042,1787898723603
283,paper,paper,paper,tie,random,True,0.005,1787898723703
284,scissors,scissors,rock,lose,order-2,True,0.0047,1787898723803
285,rock,rock,paper,lose,order-2,True,0.0047,1787898723903
286,paper,paper,scissors,lose,order-2,True,0.0048,1787898724003
287,scissors,scissors,rock,lose,order-2,True,0.0047,1787898724103
288,rock,rock,paper,lose,order-2,True,0.0029,1787898724203
289,paper,paper,scissors,lose,order-2,True,0.0029,1787898724303
290,scissors,scissors,rock,lose,order-2,True,0.0028,1787898724403
291,rock,rock,paper,lose,order-2,True,0.0029,1787898724503
292,paper,paper,scissors,lose,order-2,True,0.0048,1787898724603
